state,satScoresAvgTotal
Wisconsin,1252
Wyoming,1244
Kansas,1238
Utah,1233
Mississippi,1226
Minnesota,1225
Nebraska,1222
Kentucky,1219
South Dakota,1219
North Dakota,1212
Montana,1206
Missouri,1200
Tennessee,1200
Iowa,1196
Arkansas,1191
Nevada,1172
Louisiana,1171
Arizona,1159
Alabama,1146
Oregon,1143
North Carolina,1136
Hawaii,1124
Virginia,1124
California,1115
Alaska,1110
Washington,1096
Vermont,1095
Pennsylvania,1091
Maine,1081
New Jersey,1079
Maryland,1075
Indiana,1073
New York,1067
Georgia,1060
Ohio,1053
New Hampshire,1050
South Carolina,1030
Massachusetts,1029
Connecticut,1025
Colorado,1021
Texas,1001
Michigan,1000
District of Columbia,985
Florida,983
Illinois,981
New Mexico,976
Rhode Island,971
Delaware,968
Idaho,968
Oklahoma,951
West Virginia,938
